temperatura Inverno; temperatura Primavera; temperatura Verão; temperatura Outono
8,25377;24,00571;16,15712;12,41226
5,51222;27,63354;25,71438;8,21736
7,00435;24,91218;58,16714;7,18785
7,17263;29,86128;39,33387;13,59984
5,94719;24,04944;21,39866;15,66155
11,44997;12,0055;39,97447;19,8374
11,85187;12,61335;36,18261;16,96505
10,11321;29,64731;19,50726;8,20091
12,70952;29,05027;15,56119;21,74994
11,54407;17,64687;32,75436;21,28453
3,42976;12,76549;18,40863;22,78135
11,14118;24,29988;12,93333;21,82026
12,74276;20,95008;43,25496;15,36768
6,91592;15,73972;28,22167;13,19971
13,9778;27,05808;30,18488;6,4675
3,10188;26,07545;24,52734;11,10646
12,53046;14,60304;27,53619;19,28446
14,74157;16,4044;44,668;7,86988
7,26587;28,01795;29,52628;21,70212
13,35416;17,53227;35,83993;14,81835
10,68334;20,90039;21,29448;10,6867
2,68761;15,94797;39,96185;11,93992
3,37723;13,51202;12,26688;11,66358
10,24733;14,58348;18,74545;19,87045
13,55059;23,99467;35,36139;8,35242
7,31482;26,93854;33,28365;19,55171
3,09162;22,45515;25,59286;19,44644
9,83277;11,88947;24,80051;11,99362
13,92063;18,6223;47,22521;6,74666
14,16423;20,08149;42,2781;22,99837
10,00688;17,88649;41,2949;25,83581
11,92184;18,87013;39,17932;14,81933
2,08539;19,57034;32,99935;14,6068
6,91703;21,34074;41,61458;17,4928
6,75367;18,83309;21,28393;9,41041
2,66897;21,38532;44,77692;6,5039
8,27335;14,28077;27,97083;15,72455
7,72762;12,79645;40,56986;12,275
7,15485;14,35444;20,66541;7,55546
6,45765;21,51269;38,95829;12,26088
12,96953;15,74046;46,75768;21,65463
10,56855;15,94372;37,24135;8,0273
4,95941;14,13945;35,6739;17,17112
14,99673;25,29467;30,88268;17,60832
8,93454;14,45397;43,23625;14,87151
12,19647;14,09893;40,12939;13,54975
6,84052;13,75681;16,69163;14,48016
8,19574;16,54258;24,2556;29,83177
8,8097;24,41956;34,87575;15,8723
13,14999;22,00285;26,11132;20,78366
7,68783;19,45923;41,55483;16,8261
13,58022;26,15257;22,45738;15,82143
3,05223;13,85091;22,72432;13,61728
12,02345;28,45802;34,92637;13,97045
13,84661;19,45837;23,63171;13,07403
8,73167;15,30507;37,43708;23,21068
4,58155;27,38909;35,21459;16,42191
13,1247;12,48776;36,16678;11,30651
4,85929;28,58504;20,26897;25,50311
13,49171;25,10035;24,92384;6,88026
4,93733;25,27206;26,5637;9,04958
14,52061;19,55972;24,47769;13,49626
8,44968;21,95946;22,36133;27,18211
8,45612;26,72837;38,34345;23,80876
3,94955;20,13034;18,834;9,10901
9,40077;24,08382;12,78081;12,16729
11,95597;23,89092;35,12366;11,42696
5,60174;14,38756;34,53665;7,03325
12,90272;25,69416;32,55331;8,57649
10,64789;22,33334;43,02288;7,92711
14,1657;16,10687;40,6401;16,12478
7,73792;14,33843;29,29699;18,27848
5,93877;23,83213;34,43259;19,85443
9,4925;29,95112;29,95629;13,68858
2,53411;26,17412;41,22632;6,25735
13,85426;19,3973;31,62175;8,11625
10,98738;18,0145;30,4273;10,73246
7,15025;24,93895;32,34855;19,09899
11,07693;16,40791;38,9862;25,37664
6,34701;29,03764;24,08887;9,95676
5,83737;17,67923;23,17905;8,79546
7,3918;28,6204;16,05769;19,66918
9,81959;28,57345;41,52794;10,77114
7,54949;28,00997;38,45531;24,28534
6,06954;15,53809;45,48734;10,47017
12,07827;15,55701;44,40252;24,18519
4,55656;15,84771;22,95468;14,10003
10,96518;14,22798;33,70658;7,05881
8,45881;19,62058;32,82301;11,38242
9,80946;29,68936;19,77524;18,80797
6,82828;24,84572;17,78048;16,97132
8,10693;17,09591;33,02792;8,98369
3,12264;16,62983;21,20865;14,46647
14,97764;12,70822;14,58013;13,71207
3,4575;14,82436;20,33443;21,01308
14,88221;25,33966;26,71364;10,28932
10,14264;21,11125;31,03781;17,75449
10,69648;18,8015;31,33446;12,76624
9,70243;25,8395;28,08734;15,17479
5,0314;20,01041;46,71055;9,93648
6,61816;13,91418;38,78979;26,26329
6,28245;29,40192;40,77534;10,38897
3,08184;17,06257;24,53702;10,48992
8,22491;21,51828;32,22901;7,00382
13,12277;29,56633;24,68243;25,56885
12,20571;27,85651;41,39195;17,07967
7,20466;29,96696;19,58021;18,4005
14,05468;25,34834;32,55156;24,1377
9,3291;25,4306;22,87655;17,40825
5,69761;19,99201;40,3282;12,28656
6,49718;26,0805;38,49447;13,08025
2,31696;17,33256;25,04287;18,27728
9,14216;17,51508;34,96229;22,33988
11,50386;23,87434;16,00918;15,1213
11,56085;19,72468;25,06254;9,48316
2,67535;22,39869;27,98497;18,57764
11,03809;25,62213;5,06947;20,08737
7,60552;13,93784;42,77887;6,41699
4,01646;18,34933;46,0517;16,08254
3,01701;18,8158;22,52289;20,9939
2,44279;23,6937;34,03593;6,128
6,09404;11,37635;21,48012;24,94738
9,09341;26,56405;10,58421;9,34471
9,5696;21,72265;44,08699;24,47821
8,90394;19,58318;34,08215;10,27845
14,78212;24,4591;28,11006;10,87058
2,90747;18,5804;31,31488;11,19913
14,1328;21,89822;36,89345;15,33606
2,50988;26,56475;46,05562;6,3653
8,5591;12,78914;49,10748;18,23695
8,33626;21,66212;26,31844;21,49254
7,59556;19,31237;18,46941;12,36376
8,49072;23,36591;40,85828;16,74852
9,95739;27,51061;29,90898;12,82151
7,64867;22,22123;10,08244;15,88854
12,25889;24,98051;29,23915;11,99754
11,19918;13,46733;36,97516;14,95132
12,88574;28,61813;49,84091;10,33308
9,57298;23,39376;40,84968;16,0819
12,36388;10,66893;41,87771;15,75647
3,71306;26,83992;49,01987;12,96589
4,00575;16,44505;29,88516;8,63417
